Name,amplifications,neutral,deletions,average
SERPINB13,1.0,69.0,39.0,-0.14149449541284406
SERPINB2,1.0,69.0,39.0,-0.14149449541284406
SERPINB3,1.0,69.0,39.0,-0.14149449541284406
SERPINB4,1.0,69.0,39.0,-0.14149449541284406
SERPINB5,1.0,69.0,39.0,-0.14149449541284406
SERPINB6,5.0,100.0,4.0,0.05405871559633029
SERPINB7,1.0,69.0,39.0,-0.14149449541284406
SERPINB8,1.0,69.0,39.0,-0.14149449541284406
SERPINB9,5.0,100.0,4.0,0.05405871559633029
SERPINC1,30.0,78.0,1.0,0.1987192660550459
SERPIND1,4.0,85.0,20.0,-0.04714954128440365
SERPINE1,8.0,98.0,3.0,0.07471009174311925
SERPINE2,1.0,102.0,6.0,-0.01201651376146789
SERPINE3,1.0,70.0,38.0,-0.134111009174312
SERPINF1,0.0,70.0,39.0,-0.15110825688073398
SERPINF2,0.0,70.0,39.0,-0.15110825688073398
SERPING1,1.0,102.0,6.0,0.0036614678899082507
SERPINH1,8.0,97.0,4.0,0.060090825688073383
SERPINI1,4.0,98.0,7.0,0.024498165137614672
SERPINI2,5.0,97.0,7.0,0.02679082568807339
SERTAD1,4.0,90.0,15.0,-0.010565137614678902
SERTAD2,4.0,104.0,1.0,0.026430275229357786
SERTAD3,4.0,90.0,15.0,-0.010565137614678902
SERTAD4,29.0,79.0,1.0,0.19168807339449545
SERTM1,1.0,70.0,38.0,-0.13810183486238534
SESN1,0.0,79.0,30.0,-0.1247807339449542
SESN2,2.0,98.0,9.0,-0.0012100917431192627
SESN3,7.0,97.0,5.0,0.03940825688073394
SESTD1,2.0,100.0,7.0,-0.0030201834862385347
SET,0.0,89.0,20.0,-0.08314587155963303
SETBP1,1.0,70.0,38.0,-0.10404128440366976
SETD1A,10.0,97.0,2.0,0.09924678899082563
SETD1B,3.0,96.0,10.0,-0.015721100917431195
SETD2,0.0,78.0,31.0,-0.12325412844036696
SETD3,10.0,95.0,4.0,0.04467981651376147
SETD4,7.0,91.0,11.0,0.009648623853211013
SETD5,0.0,80.0,29.0,-0.11241009174311924
SETD6,4.0,93.0,12.0,0.003628440366972469
SETD7,2.0,94.0,13.0,-0.03903394495412842
SETD9,8.0,92.0,9.0,0.0010155963302752214
SETDB1,41.0,67.0,1.0,0.25026238532110084
SETDB2,1.0,72.0,36.0,-0.1326954128440368
SETMAR,0.0,80.0,29.0,-0.11144128440366965
SETSIP,2.0,86.0,21.0,-0.06229908256880731
SETX,0.0,88.0,21.0,-0.08976330275229362
SEZ6,7.0,95.0,7.0,0.05440091743119266
SEZ6L,4.0,78.0,27.0,-0.08248990825688077
SEZ6L2,9.0,99.0,1.0,0.08018623853211013
SF1,3.0,100.0,6.0,0.017544954128440367
SF3A1,3.0,80.0,26.0,-0.07798990825688075
SF3A2,1.0,82.0,26.0,-0.09600366972477069
SF3A3,5.0,97.0,7.0,0.030728440366972476
SF3B1,1.0,104.0,4.0,-0.00362201834862386
SF3B2,5.0,101.0,3.0,0.05435688073394493
SF3B3,6.0,90.0,13.0,0.0177605504587156
SF3B4,41.0,67.0,1.0,0.252451376146789
