,Mutation,Lscc_odds,Lscc_pvalue
530,ANKRD53,2.6551724137931036,0.48026998961578404
531,ANKRD54,0.0,1.0
532,ANKRD55,0.0,1.0
533,ANKRD6,0.0,1.0
534,ANKRD60,0.0,1.0
535,ANKRD61,2.6551724137931036,0.48026998961578404
536,ANKRD62,0.0,1.0
537,ANKRD65,inf,0.07528556593977125
538,ANKRD7,2.6551724137931036,0.48026998961578404
539,ANKRD9,0.0,0.5587198025039665
540,ANKS1A,1.3103448275862069,1.0
541,ANKS1B,0.3017241379310345,0.4395747799286444
542,ANKS3,2.6551724137931036,0.48026998961578404
543,ANKS4B,inf,0.2777777777777764
544,ANKS6,0.8620689655172413,1.0
545,ANKUB1,1.3103448275862069,1.0
546,ANO1,2.7777777777777777,0.34476505402208235
547,ANO10,inf,0.2777777777777764
548,ANO2,0.0,0.5587198025039665
549,ANO3,0.0,0.5587198025039665
550,ANO4,8.555555555555555,0.06420580340523928
551,ANO5,2.246153846153846,0.25973963649429777
552,ANO6,8.555555555555555,0.06420580340523928
553,ANO7,2.6551724137931036,0.48026998961578404
554,ANO8,1.3103448275862069,1.0
555,ANO9,0.0,1.0
556,ANOS1,2.6551724137931036,0.48026998961578404
557,ANP32D,inf,0.2777777777777764
558,ANP32E,0.0,1.0
559,ANPEP,0.0,0.1833541245919506
560,ANTXR1,0.0,1.0
561,ANTXRL,1.3214285714285714,0.6690280818951142
562,ANXA11,inf,0.07528556593977125
563,ANXA13,inf,0.2777777777777764
564,ANXA2R,0.0,1.0
565,ANXA6,5.5,0.18608319128509537
566,ANXA7,1.3103448275862069,1.0
567,ANXA9,2.6551724137931036,0.48026998961578404
568,AOAH,0.0,1.0
569,AOC1,0.8571428571428571,1.0
570,AOC2,0.0,1.0
571,AOC3,inf,0.2777777777777764
572,AOX1,0.0,1.0
573,AP000721.4,0.0,1.0
574,AP003419.11,0.0,1.0
575,AP1B1,0.6379310344827587,1.0
576,AP1G1,1.3103448275862069,1.0
577,AP1S1,0.0,1.0
578,AP2A1,2.7142857142857144,0.30796057916495284
579,AP2A2,0.0,1.0
580,AP2B1,0.0,1.0
581,AP2M1,2.6551724137931036,0.48026998961578404
582,AP3B1,0.0,1.0
583,AP3B2,2.6551724137931036,0.48026998961578404
584,AP3D1,1.3103448275862069,1.0
585,AP3M2,0.0,1.0
586,AP4B1,2.6551724137931036,0.48026998961578404
587,AP4E1,inf,0.2777777777777764
588,AP4S1,0.0,1.0
589,AP5B1,1.7857142857142858,0.616102392288252
590,AP5Z1,0.0,1.0
591,APAF1,inf,0.2777777777777764
592,APBA1,0.41379310344827586,0.6706504932583672
593,APBA2,2.0555555555555554,0.3942997577165433
594,APBA3,2.6551724137931036,0.48026998961578404
595,APBB1,2.6551724137931036,0.48026998961578404
596,APBB1IP,2.0555555555555554,0.3942997577165433
597,APBB2,0.8620689655172413,1.0
598,APBB3,inf,0.2777777777777764
599,APC,1.7857142857142858,0.616102392288252
600,APC2,1.042857142857143,1.0
601,APCDD1L,2.6551724137931036,0.48026998961578404
602,APCS,2.6551724137931036,0.48026998961578404
603,APEX1,0.0,1.0
604,APH1A,inf,0.2777777777777764
605,APH1B,0.0,1.0
606,APLF,0.8620689655172413,1.0
607,APLNR,0.0,0.5587198025039665
608,APLP1,0.6379310344827587,1.0
609,APLP2,5.5,0.18608319128509537
610,APMAP,inf,0.2777777777777764
611,APOA1,0.0,1.0
612,APOA4,0.8620689655172413,1.0
613,APOA5,0.0,1.0
614,APOB,1.1428571428571428,0.7879507753500388
615,APOBEC1,2.7142857142857144,0.30796057916495284
616,APOBEC3A,0.0,1.0
617,APOBEC3B,0.0,1.0
618,APOBEC3F,0.0,1.0
619,APOBEC3G,0.0,1.0
620,APOBR,1.3103448275862069,1.0
621,APOF,0.0,1.0
622,APOH,2.6551724137931036,0.48026998961578404
623,APOL3,0.0,1.0
624,APOL6,0.0,1.0
625,APOLD1,0.0,1.0
626,APOO,0.0,1.0
627,APOPT1,inf,0.2777777777777764
628,APP,0.0,1.0
629,APPBP2,2.6551724137931036,0.48026998961578404
630,APPL1,0.0,1.0
631,APTX,0.0,1.0
632,AQP1,0.0,1.0
633,AQP12A,2.6551724137931036,0.48026998961578404
634,AQP12B,inf,0.2777777777777764
635,AQP4,2.6551724137931036,0.48026998961578404
636,AQP9,0.0,1.0
637,AQR,inf,0.2777777777777764
638,AR,0.503448275862069,1.0
639,ARAP1,0.0,0.5741295871784345
640,ARAP2,1.3103448275862069,1.0
641,ARAP3,1.3103448275862069,1.0
642,ARC,0.0,0.5587198025039665
643,ARF3,0.0,1.0
644,ARF5,0.0,1.0
645,ARFGAP1,0.0,0.5741295871784345
646,ARFGAP2,0.0,1.0
647,ARFGAP3,0.0,1.0
648,ARFGEF1,2.0555555555555554,0.3942997577165433
649,ARFGEF2,2.6551724137931036,0.48026998961578404
650,ARFGEF3,1.3214285714285714,0.6690280818951142
651,ARFRP1,0.0,1.0
652,ARG2,inf,0.2777777777777764
653,ARGFX,0.0,1.0
654,ARGLU1,0.0,1.0
655,ARHGAP1,0.0,1.0
656,ARHGAP10,0.0,1.0
657,ARHGAP11A,0.0,1.0
658,ARHGAP11B,0.0,1.0
659,ARHGAP12,2.6551724137931036,0.48026998961578404
660,ARHGAP15,2.7142857142857144,0.30796057916495284
