,Mutation,Hnscc_odds,Hnscc_pvalue
590,ARFGAP2,0.0,1.0
591,ARFGEF1,1.3275862068965518,1.0
592,ARFGEF2,1.3275862068965518,1.0
593,ARFGEF3,0.30603448275862066,0.43953785455929145
594,ARFIP2,inf,0.2752293577981668
595,ARGFX,inf,0.2752293577981668
596,ARHGAP1,2.689655172413793,0.4765545361875627
597,ARHGAP11A,0.0,1.0
598,ARHGAP12,0.0,1.0
599,ARHGAP15,0.0,1.0
600,ARHGAP17,0.0,1.0
601,ARHGAP18,0.0,1.0
602,ARHGAP21,2.75,0.3034880144721127
603,ARHGAP22,0.0,1.0
604,ARHGAP23,0.0,1.0
605,ARHGAP24,inf,0.0739041794087671
606,ARHGAP25,2.689655172413793,0.4765545361875627
607,ARHGAP26,0.0,1.0
608,ARHGAP27,0.0,1.0
609,ARHGAP28,0.0,0.573564090493129
610,ARHGAP29,0.0,1.0
611,ARHGAP30,0.0,1.0
612,ARHGAP31,1.8095238095238095,0.614177034255692
613,ARHGAP32,1.3275862068965518,1.0
614,ARHGAP33,2.75,0.3034880144721127
615,ARHGAP35,0.0,0.1848123066890185
616,ARHGAP36,0.8735632183908046,1.0
617,ARHGAP39,1.8095238095238095,0.614177034255692
618,ARHGAP4,2.689655172413793,0.4765545361875627
619,ARHGAP40,0.0,0.5597187687558982
620,ARHGAP42,inf,0.2752293577981668
621,ARHGAP44,inf,0.2752293577981668
622,ARHGAP45,5.571428571428571,0.1830337153581604
623,ARHGAP5,0.0,0.3197331919771389
624,ARHGAP9,1.3275862068965518,1.0
625,ARHGEF1,0.0,0.573564090493129
626,ARHGEF10,0.0,1.0
627,ARHGEF11,0.0,1.0
628,ARHGEF15,0.0,1.0
629,ARHGEF16,0.0,1.0
630,ARHGEF17,0.0,0.5597187687558982
631,ARHGEF18,0.0,1.0
632,ARHGEF19,0.0,1.0
633,ARHGEF25,0.0,1.0
634,ARHGEF28,0.0,1.0
635,ARHGEF3,inf,0.2752293577981668
636,ARHGEF33,0.0,1.0
637,ARHGEF38,2.689655172413793,0.4765545361875627
638,ARHGEF4,inf,0.2752293577981668
639,ARHGEF40,2.689655172413793,0.4765545361875627
640,ARHGEF6,0.0,0.5597187687558982
641,ARHGEF9,0.0,1.0
642,ARID1A,1.8717948717948718,0.4577697556760367
643,ARID1B,0.8735632183908046,1.0
644,ARID2,1.3275862068965518,1.0
645,ARID3A,0.0,1.0
646,ARID3B,0.0,1.0
647,ARID4A,0.0,1.0
648,ARID4B,inf,0.2752293577981668
649,ARID5A,0.0,1.0
650,ARID5B,0.0,0.5597187687558982
651,ARIH1,0.0,0.573564090493129
652,ARIH2,0.0,1.0
653,ARIH2OS,0.0,1.0
654,ARL1,0.0,1.0
655,ARL10,0.0,1.0
656,ARL13A,0.0,1.0
657,ARL13B,0.0,1.0
658,ARL15,inf,0.2752293577981668
659,ARL4C,inf,0.2752293577981668
660,ARL5A,0.0,1.0
661,ARL6IP4,0.0,1.0
662,ARL9,inf,0.2752293577981668
663,ARMC2,2.689655172413793,0.4765545361875627
664,ARMC3,inf,0.0739041794087671
665,ARMC4,0.646551724137931,1.0
666,ARMC5,0.0,1.0
667,ARMC7,0.0,1.0
668,ARMC8,2.689655172413793,0.4765545361875627
669,ARMC9,0.0,1.0
670,ARMCX2,0.0,1.0
671,ARMCX3,0.0,1.0
672,ARMCX4,0.0,1.0
673,ARMCX5,0.0,1.0
674,ARMT1,inf,0.2752293577981668
675,ARNT,inf,0.2752293577981668
676,ARNT2,0.0,1.0
677,ARNTL,inf,0.2752293577981668
678,ARNTL2,0.0,1.0
679,ARPC1B,0.0,1.0
680,ARPC2,0.0,1.0
681,ARPC3,inf,0.2752293577981668
682,ARPIN,inf,0.2752293577981668
683,ARPP21,inf,0.0739041794087671
684,ARR3,0.0,1.0
685,ARRDC2,inf,0.2752293577981668
686,ARSA,0.0,1.0
687,ARSE,0.0,1.0
688,ARSJ,0.0,1.0
689,ARSK,0.0,1.0
