Name,amplifications,neutral,deletions,average
EFTUD2,0.0,47.0,53.0,-0.22845812769093
EGF,2.0,46.0,52.0,-0.23406599999999986
EGFL7,12.0,53.0,35.0,-0.06956054659358
EGFLAM,17.0,74.0,9.0,0.1481711976361899
EGFR,15.0,74.0,11.0,0.09696988025751986
EGLN1,27.0,67.0,6.0,0.18491099999999994
EGLN2,19.0,62.0,19.0,0.08319584220552287
EGLN3,13.0,59.0,28.0,-0.020205146484039996
EGR1,4.0,61.0,35.0,-0.09608699999999995
EGR2,13.0,76.0,11.0,0.07160825877835
EGR3,5.0,31.0,64.0,-0.3360119999999999
EGR4,15.0,77.0,8.0,0.10264100000000001
EHBP1,18.0,72.0,10.0,0.09896354061039096
EHBP1L1,22.0,75.0,3.0,0.17468923165721498
EHD1,18.0,77.0,5.0,0.134709217809223
EHD2,4.0,57.0,39.0,-0.16050841460953902
EHD3,24.0,67.0,9.0,0.1396181159122551
EHD4,2.0,51.0,47.0,-0.20154115779777992
EHF,11.0,73.0,16.0,0.045021712862520005
EHHADH,50.0,44.0,6.0,0.2937919999999999
EHMT1,8.0,51.0,41.0,-0.13108755860805893
EID1,3.0,58.0,39.0,-0.12449799999999996
EID2,20.0,62.0,18.0,0.151401
EID2B,21.0,61.0,18.0,0.15421600000000002
EID3,3.0,75.0,22.0,-0.06085699999999997
EIF1,4.0,36.0,60.0,-0.22810900000000003
EIF1AD,18.0,78.0,4.0,0.15533731815788804
EIF1B,9.0,72.0,19.0,-0.0049550000000000045
EIF2A,51.0,42.0,7.0,0.31018139272068895
EIF2AK1,10.0,59.0,31.0,-0.09094789428502603
EIF2AK2,22.0,65.0,13.0,0.0965601475676972
EIF2AK3,9.0,86.0,5.0,0.082424052654471
EIF2AK4,2.0,56.0,42.0,-0.151653374117498
EIF2B1,9.0,68.0,23.0,-0.060577000000000075
EIF2B2,3.0,57.0,40.0,-0.12021899999999988
EIF2B3,18.0,74.0,8.0,0.12819672919459
EIF2B4,26.0,65.0,9.0,0.16987946439917312
EIF2B5,55.0,40.0,5.0,0.33832096626841585
EIF2D,24.0,68.0,8.0,0.16265241920008386
EIF2S1,3.0,60.0,37.0,-0.12954163331106006
EIF2S2,31.0,66.0,3.0,0.23215921127149008
EIF3A,8.0,72.0,20.0,-0.046842870670297854
EIF3B,10.0,57.0,33.0,-0.10893779972749013
EIF3C,17.0,64.0,19.0,0.0289082275543601
EIF3D,4.0,37.0,59.0,-0.20753779421969998
EIF3E,56.0,35.0,9.0,0.3786339349802701
EIF3F,1.0,56.0,43.0,-0.15957311870944696
EIF3G,21.0,56.0,23.0,0.11638541073132586
EIF3H,60.0,35.0,5.0,0.4298218650934581
EIF3I,6.0,73.0,21.0,-0.005104275668307897
EIF3J,2.0,53.0,45.0,-0.18711466688851006
EIF3K,21.0,60.0,19.0,0.11951098265969204
EIF3L,5.0,36.0,59.0,-0.21335680430853
EIF3M,8.0,72.0,20.0,-0.005683280073770978
EIF4A1,7.0,41.0,52.0,-0.17591153283694694
EIF4A2,47.0,44.0,9.0,0.25975398656874593
EIF4A3,20.0,65.0,15.0,0.09371413131772002
EIF4B,7.0,83.0,10.0,0.04480486634735505
EIF4E,3.0,46.0,51.0,-0.19985462200479998
EIF4E1B,13.0,61.0,26.0,0.012335387656530005
